eco_notes_detailed,id,accommodation_details,eco_focus_tags,gallery_image_urls,primary_image_url,last_verified_date,coordinates,name,source_urls,description_long,digital_nomad_features,city,coworking_details,cafe_details,address_string,category,description_short
"Oasis Yoga Bungalows exemplifies small-scale sustainable tourism on Koh Lanta. Their bungalows are constructed primarily from local bamboo, reclaimed wood, and other renewable materials with minimal concrete. The property uses a combination of solar power and energy-efficient systems to reduce electricity consumption. Water conservation is achieved through rainwater harvesting, low-flow fixtures, and greywater recycling for their organic garden. They maintain a strict zero single-use plastic policy, providing filtered water stations and biodegradable toiletries. Food waste is composted for their garden which supplies herbs and vegetables for their cafe. The owners actively participate in beach clean-ups and local conservation initiatives, and they employ staff from the local community. Their approach demonstrates how a small property can implement comprehensive sustainability practices while providing a comfortable, authentic experience.",oasis-yoga-kohlanta-83571,"{""accommodation_type"": ""bungalow"", ""price_per_night_thb_range"": {""min"": 1200, ""max"": 2200}, ""room_types_available"": [""bamboo_bungalow"", ""garden_bungalow""], ""specific_amenities_accommodation"": [""yoga_meditation_space"", ""eco_friendly_design"", ""organic_cafe"", ""free_bicycles"", ""outdoor_dining"", ""beach_access""]}","[""green_building_materials"", ""organic_food"", ""waste_reduction"", ""water_conservation"", ""plastic_free_initiatives"", ""community_focused""]","[""/images/listings/oasis-yoga-kohlanta-83571/oasis-1.jpg"", ""/images/listings/oasis-yoga-kohlanta-83571/oasis-2.jpg"", ""/images/listings/oasis-yoga-kohlanta-83571/oasis-3.jpg""]",/images/listings/oasis-yoga-kohlanta-83571/oasis-1.jpg,2025-05-10,"{""latitude"": 7.6429, ""longitude"": 99.0375}",Oasis Yoga Bungalows,"[""https://www.oasisyogalanta.com/"", ""https://www.facebook.com/oasisyogalanta/"", ""https://www.tripadvisor.com/Hotel_Review-g303905-d8009984-Reviews-Oasis_Yoga_Bungalows-Ko_Lanta_Krabi_Province.html""]","Oasis Yoga Bungalows is an intimate eco-retreat located steps from Long Beach on Koh Lanta. This family-run property features six unique bamboo bungalows designed with natural ventilation and built using sustainable materials. The retreat operates with a strong environmental ethos including zero-waste practices, an organic garden, and comprehensive water conservation systems. Beyond accommodation, they offer daily yoga classes, plant-based meals, and a supportive community for digital nomads seeking a mindful workspace in paradise.","[""fast_wifi"", ""quiet_work_zones"", ""community_events_networking""]",Koh Lanta,,,"272 Moo 3, Sala Dan, Koh Lanta, Krabi 81150",accommodation,Eco-friendly yoga retreat with sustainable bamboo bungalows featuring organic garden and zero-waste initiatives.
"Pun Pun represents a comprehensive approach to sustainability centered around food sovereignty and ecological practices. The cafe sources nearly all its ingredients from their own organic farm or local farmers practicing sustainable agriculture. Their seed-saving initiative preserves traditional Thai crop varieties that might otherwise disappear due to industrial agriculture. The restaurant itself is constructed using natural building techniques including adobe, bamboo, and reclaimed materials. They practice comprehensive waste management with composting of all food scraps and use of biodegradable packaging. Water conservation includes rainwater collection and greywater systems for garden irrigation. The organization regularly conducts workshops on sustainable living practices including natural building, permaculture, seed saving, and plant-based cooking. Their holistic approach demonstrates how food systems can be regenerative rather than extractive, while creating meaningful community connections.",pun-pun-chiangmai-92465,,"[""organic_food"", ""plant_based_menu"", ""local_sourcing"", ""waste_reduction"", ""community_focused"", ""eco_education_programs"", ""green_building_materials""]","[""/images/listings/pun-pun-chiangmai-92465/punpun-1.jpg"", ""/images/listings/pun-pun-chiangmai-92465/punpun-2.jpg"", ""/images/listings/pun-pun-chiangmai-92465/punpun-3.jpg""]",/images/listings/pun-pun-chiangmai-92465/punpun-1.jpg,2025-05-12,"{""latitude"": 18.7902, ""longitude"": 98.9673}",Pun Pun Organic Farm & Restaurant,"[""https://www.punpunthailand.org/"", ""https://www.facebook.com/PunPunCenter/"", ""https://www.tripadvisor.com/Restaurant_Review-g293917-d1977143-Reviews-Pun_Pun_Organic_Vegetarian_Restaurant-Chiang_Mai.html""]","Pun Pun Organic Farm & Restaurant is more than just a cafe—it's a center for sustainable living and seed preservation located at Wat Suan Dok Temple. This peaceful garden cafe serves delicious vegetarian Thai cuisine made with organic ingredients grown at their farm. Beyond serving food, Pun Pun is part of a larger movement promoting seed saving, sustainable agriculture, natural building, and community self-reliance. The restaurant provides a tranquil workspace among garden beds and earthen structures, making it ideal for digital nomads seeking inspiration in a sustainability-focused environment.","[""quiet_work_zones"", ""on_site_food_drink"", ""outdoor_seating""]",Chiang Mai,,"{""operating_hours"": ""Tue-Sun: 9am-4pm, Closed Mondays"", ""price_indication"": ""$"", ""menu_highlights_cafe"": [""organic_vegetarian_thai_cuisine"", ""herbal_teas"", ""homemade_kombucha"", ""traditional_northern_thai_dishes"", ""seasonal_fruit_desserts""], ""wifi_reliability_notes"": ""Basic WiFi suitable for emails and light browsing. Garden seating with natural shade makes laptop use comfortable during daytime hours.""}","Wat Suan Dok Temple, Suthep Road, Chiang Mai 50200",cafe,"Farm-to-table vegetarian cafe committed to seed saving, sustainable agriculture, and community resilience."
Focuses on 'infusing lush greenery to create a workplace oasis'.,the-urban-office-bangkok-bkk-cw,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Urban Office,"[""https://www.theurbanoffice.com/""]","Located in the S-Metro Building, Sukhumvit, The Urban Office aims to blend work professionalism with modern lifestyle and urban living. A key feature is the infusion of lush greenery to create a workplace oasis.",[],Bangkok,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": []}",,"S-Metro Building, Sukhumvit, Bangkok",coworking,Coworking space in Sukhumvit focusing on a workplace oasis with lush greenery.
'Seamless blend of greenery and mid-century modern design.' 'Inspirational setting with lush green surrounds.',tloft-co-working-space-bangkok-bkk-cw,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",TLoft Co-Working Space,"[""https://www.tloftbkk.com/""]","TLoft Co-Working Space, located in Suriyawong, Bang Rak, promotes a seamless work-life balance. It features an inspirational setting with a seamless blend of greenery and mid-century modern design, and lush green surrounds.",[],Bangkok,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": []}",,"Suriyawong, Bang Rak, Bangkok",coworking,Coworking space in Bang Rak with a blend of greenery and mid-century modern design.
"Described as having a 'modern, green setting'. Features a 'sizable play yard out front', suggesting outdoor green space.",hubba-sathorn-hub-hubba-thailand-bangkok-bkk-cw,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Hubba (Sathorn Hub / Hubba Thailand),"[""https://www.hubbathailand.com/""]","Hubba, with its Sathorn Hub, offers a flexible coworking environment for growing businesses. It provides entrepreneurial programs, mentorships, and events. The space is characterized by a modern, green setting and features a sizable outdoor play yard.","[""community_events_networking""]",Bangkok,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": [""event_space_available"", ""outdoor_seating_area""]}",,"Naradhiwas Rajanagarindra Rd, Bangkok",coworking,"Flexible coworking space in Sathorn with a modern, green setting and outdoor play yard."
"Features a greenhouse setting. Surrounded by gardens, providing a green and natural ambience. Pet-friendly.",dusit-gourmet-at-baan-dusit-thani-bangkok-bkk-cf,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Dusit Gourmet (at Baan Dusit Thani),"[""https://www.facebook.com/baandusithani""]","Dusit Gourmet, located within the Baan Dusit Thani complex, is a coffeeshop offering pastries and light bites. It is distinguished by its greenhouse setting and is surrounded by lush gardens, providing a green and natural ambience. It is also pet-friendly.","[""on_site_food_drink"", ""pet_friendly"", ""outdoor_seating_area""]",Bangkok,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""pastries"", ""light bites"", ""coffee""], ""wifi_reliability_notes"": null}","Baan Dusit Thani, Sala Daeng, Bangkok",cafe,"Coffeeshop in Baan Dusit Thani with a greenhouse setting, surrounded by gardens."
"'Abundant greenery for inspiration.' 'Surrounded by plenty of plants.' Uses charming vintage furniture, potentially upcycled/repurposed.",piccolo-vicolo-caf-bangkok-bkk-cf,,"[""biophilic_design"", ""upcycled_materials""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Piccolo Vicolo Café,"[""https://www.instagram.com/piccolo.vicolo.cafe/?hl=en""]","Piccolo Vicolo Café is situated in GalileOasis, an arts and community hub in Bangkok. It's recognized for its quality coffee and features abundant greenery and charming vintage furniture, creating an inspirational atmosphere.","[""on_site_food_drink""]",Bangkok,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""quality_coffee""], ""wifi_reliability_notes"": null}","GalileOasis, Bangkok",cafe,"Cafe in GalileOasis arts hub, known for quality coffee, abundant greenery, and vintage furniture."
"'Green, leafy ambience.' Focus on fresh ingredients, potentially locally sourced for their bakery and cafe items.",bartels-bangkok-bkk-cf,,"[""biophilic_design"", ""local_sourcing""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Bartels,"[""https://www.bartelsthailand.com/"", ""https://www.thingsnomadsdo.com/blog/best-specialty-coffee-in-phuket-thailand""]","Bartels is a cafe with multiple locations in Bangkok, popular for its sourdough bread, sandwiches, fresh juices, and coffee. It offers a green and leafy ambience, focusing on fresh ingredients.","[""on_site_food_drink""]",Bangkok,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""sourdough_bread_pastries"", ""sandwiches"", ""fresh_pressed_juices_smoothies"", ""specialty_coffee_beans""], ""wifi_reliability_notes"": null}","Multiple locations (e.g., Sukhumvit)",cafe,"Cafe known for sourdough, sandwiches, fresh juice, and coffee, with a green, leafy ambience."
'Plant-filled destination.' Excellent city views and natural light due to its location and design. The concept encourages shared space usage. (Note: This is a large venue containing multiple individual eateries; specific eco-practices of sub-vendors may vary).,open-house-central-embassy-bangkok-bkk-cf,,"[""biophilic_design"", ""natural_lighting"", ""shared_space_model""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Open House Central Embassy,"[""https://www.facebook.com/openhouse.ce/""]","Open House, located on the 6th floor of Central Embassy, is a vast, open-concept 'co-thinking space'. It integrates a bookstore with various cafes and restaurants, creating a plant-filled destination with excellent city views and natural light. The shared nature of the space itself promotes efficient use of resources.","[""on_site_food_drink"", ""quiet_work_zones""]",Bangkok,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""various_cuisines_available"", ""bookstore_cafe_concept""], ""wifi_reliability_notes"": null}","6th floor, Central Embassy, Bangkok",cafe,"Large, plant-filled co-thinking space in Central Embassy with multiple cafes and restaurants."
"Features a 'beautiful garden'. The parent hotel (Kimpton Maa-Lai Bangkok) has Gold Level Green Hotel Award and Silver LEED Award, supporting local single-origin coffee/chocolate, avoiding single-use plastics, and having significant green space.",craft-at-kimpton-maa-lai-bangkok-bangkok-bkk-cf,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",CRAFT (at Kimpton Maa-Lai Bangkok),"[""https://www.kimptonmaalaibangkok.com/bangkok-restaurants/craft/"", ""https://www.kimptonmaalaibangkok.com/hotel-overview/sustainability/""]","CRAFT is a pet-friendly coffeeshop located on the ground floor of the Kimpton Maa-Lai Bangkok hotel in Langsuan. It is noted for its beautiful garden, offering a lively ambience with potential for outdoor seating in a green setting. The hotel itself has sustainability certifications.","[""on_site_food_drink"", ""pet_friendly"", ""outdoor_seating_area""]",Bangkok,,"{""operating_hours"": null, ""price_indication"": null, ""menu_highlights_cafe"": [""coffee"", ""pastries""], ""wifi_reliability_notes"": null}","Ground floor, Kimpton Maa-Lai Bangkok, Langsuan, Bangkok",cafe,Pet-friendly coffeeshop at Kimpton Maa-Lai hotel with a beautiful garden setting.
"Certified Gold Level – Green Hotel Award from Thailand’s DEQP. Silver LEED Award. Guest rooms and meeting spaces utilize solar power via grand windows. Triple-layered glass panels for noise reduction and reduced AC use. Significant green space (41% of its 8,503 sqm area is green). Supports local single-origin coffee and chocolate. Avoids single-use plastics, uses biodegradable straws, tissues, and eco-friendly amenities. Offers bikes and electric scooters for guests. Partners with Steps Organization to welcome trainees/employees with neurodivergent disabilities.",kimpton-maa-lai-bangkok-bangkok-bkk-ac,"{""accommodation_type"": ""hotel"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": [""bicycle_rental"", ""electric_scooter_rental""]}","[""solar_power"", ""green_building_materials"", ""biophilic_design"", ""local_sourcing"", ""plastic_free_initiatives"", ""community_focused"", ""energy_efficient_systems""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Kimpton Maa-Lai Bangkok,"[""https://www.kimptonmaalaibangkok.com/hotel-overview/sustainability/""]","The Kimpton Maa-Lai Bangkok is the flagship Kimpton hotel in Asia, located in the Langsuan area. It holds significant sustainability certifications (Gold Level Green Hotel Award, Silver LEED Award) and implements various eco-friendly practices, including solar power utilization, green spaces, local sourcing, and plastic reduction.","[""pet_friendly""]",Bangkok,,,"Langsuan, Bangkok",accommodation,Luxury hotel in Langsuan with strong sustainability certifications and practices.
Listed under 'Eco-Friendly Hotels' on Tripadvisor. Specific practices from the hotel's own site would be beneficial for verification.,the-peninsula-bangkok-bangkok-bkk-ac,"{""accommodation_type"": ""hotel"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}",[],[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Peninsula Bangkok,"[""https://www.tripadvisor.com/Hotel_Review-g293916-d302769-Reviews-The_Peninsula_Bangkok-Bangkok.html""]","The Peninsula Bangkok is a luxury hotel situated on the riverside. It is listed as an Eco-Friendly Hotel on Tripadvisor, though specific eco-initiatives require further verification from the hotel's official sources.",[],Bangkok,,,"Riverside, Bangkok (exact address to be confirmed)",accommodation,"Luxury hotel on the riverside, listed as eco-friendly."
Listed under 'Eco-Friendly Hotels' on Tripadvisor. Specific practices from the hotel's own site would be beneficial for verification.,amari-bangkok-bangkok-bkk-ac,"{""accommodation_type"": ""hotel"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}",[],[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Amari Bangkok,"[""https://www.tripadvisor.com/Hotel_Review-g293916-d300434-Reviews-Amari_Bangkok-Bangkok.html""]",Amari Bangkok is a hotel located in Bangkok. It is listed as an Eco-Friendly Hotel on Tripadvisor. Further details on its specific sustainability practices should be sought from official hotel channels.,[],Bangkok,,,Bangkok (exact address to be confirmed),accommodation,"Hotel in Bangkok, listed as eco-friendly."
Listed under 'Eco-Friendly Hotels' on Tripadvisor. Specific practices from the hotel's own site would be beneficial for verification.,shangri-la-bangkok-bangkok-bkk-ac,"{""accommodation_type"": ""hotel"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}",[],[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Shangri-La Bangkok,"[""https://www.tripadvisor.com/Hotel_Review-g293916-d307155-Reviews-Shangri_La_Bangkok-Bangkok.html""]",Shangri-La Bangkok is a luxury hotel located on the riverside. It is listed as an Eco-Friendly Hotel on Tripadvisor. Confirmation of specific eco-initiatives should be obtained from the hotel's official website or direct communications.,[],Bangkok,,,"Riverside, Bangkok (exact address to be confirmed)",accommodation,"Luxury hotel on the riverside, listed as eco-friendly."
Listed under 'Eco-Friendly Hotels' on Tripadvisor. Specific practices from the hotel's own site would be beneficial for verification.,asai-bangkok-chinatown-bangkok-bkk-ac,"{""accommodation_type"": ""hotel"", ""price_per_night_thb_range"": null, ""room_types_available"": [], ""specific_amenities_accommodation"": []}",[],[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",ASAI Bangkok Chinatown,"[""https://www.tripadvisor.com/Hotel_Review-g293916-d21151284-Reviews-ASAI_Bangkok_Chinatown-Bangkok.html""]","ASAI Bangkok Chinatown is a hotel situated in the vibrant Chinatown district. It is listed as an Eco-Friendly Hotel on Tripadvisor. For specific sustainability measures, direct information from the hotel would be needed.",[],Bangkok,,,"Chinatown, Bangkok (exact address to be confirmed)",accommodation,"Hotel in Chinatown, listed as eco-friendly."
"Made from 17 old shipping containers (upcycled materials). Relies solely on LED lighting. Nestled in a green space, opens into it. Rx Café on-site brews locally grown beans. Associated with an institute focused on sustainable development.",the-hub-chiang-mai-by-isdsi-chiang-mai-cnx-cw,,"[""upcycled_materials"", ""energy_efficient_systems"", ""biophilic_design"", ""local_sourcing"", ""community_focused"", ""eco_education_programs""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",The Hub Chiang Mai (by ISDSI),"[""https://www.coworker.com/mag/5-coolest-coworking-spaces-in-chiang-mai"", ""https://abrotherabroad.com/15-best-coworking-spaces-chiang-mai-has-to-offer-my-favorite-coffee-shops/"", ""https://isdsi.org/connect/new-home-isdsi/""]","The Hub Chiang Mai, operated by the International Sustainable Development Studies Institute (ISDSI), is a unique coworking space constructed from 17 old shipping containers. It is dedicated to sustainability, experiential learning, and community, featuring LED lighting, green spaces, and an on-site café brewing locally grown beans.","[""on_site_food_drink"", ""community_events_networking""]",Chiang Mai,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": [""on_site_cafe_restaurant"", ""outdoor_seating_area""]}",,"Chiang Mai (exact address to be confirmed, near ISDSI)",coworking,"Coworking space by ISDSI, made from shipping containers, focused on sustainability and community."
"Alt_PingRiver converted from an old Thai house (potential preservation/upcycling). Emphasis on natural light. Partnerships with eco-conscious brands: 'Leaf' (eco-friendly travel essentials), 'Superbee' (eco-friendly, plastic-free products by empowered women), 'INBAAN' (organic, all-natural products). Bella Goose Coffee (partner cafe) serves organic Chiang Mai americano.",altchiangmai-coworking-coliving-altpingriver-chiang-mai-cnx-cw,,"[""upcycled_materials"", ""natural_lighting"", ""local_sourcing"", ""plastic_free_initiatives"", ""organic_food""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Alt_ChiangMai Coworking & Coliving / Alt_PingRiver,"[""https://www.altcoliving.com/"", ""https://acrosseveryborder.com/coworking-spaces-in-chiang-mai/"", ""https://www.thingsnomadsdo.com/blog/best-coworking-spaces-in-chiang-mai-for-digital-nomads""]","Alt_ChiangMai offers two locations (Old Centre and Ping River) for coliving and coworking. They emphasize design, community, and a supportive environment. The Alt_PingRiver location is a converted old Thai house. They partner with several eco-conscious brands for amenities and products.","[""coliving_option_available"", ""community_events_networking"", ""on_site_food_drink""]",Chiang Mai,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": [""on_site_cafe_restaurant""]}",,"Two locations: Old Centre and Ping River, Chiang Mai",coworking,"Coliving and coworking spaces in Chiang Mai with a focus on design, community, and partnerships with eco-conscious brands."
"Described as 'more ""close to nature"" than other coworking spots.' Features a 'massive outdoor patio and garden area.' 'Plenty of trees surrounding the space.' Large green lawn for working, with hammocks and benches. Remodeled from a soda factory (adaptive reuse).",punspace-wiang-kaew-branch-chiang-mai-cnx-cw,,"[""biophilic_design"", ""upcycled_materials""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Punspace (Wiang Kaew branch),"[""https://www.punspace.com/"", ""https://acrosseveryborder.com/coworking-spaces-in-chiang-mai/"", ""https://abrotherabroad.com/15-best-coworking-spaces-chiang-mai-has-to-offer-my-favorite-coffee-shops/""]","Punspace (Wiang Kaew branch) is located in Chiang Mai’s Old Town and was remodeled from an old soda factory. It is described as being more 'close to nature' than other coworking spots, featuring a massive outdoor patio, garden area, and plenty of surrounding trees. It offers a large green lawn with hammocks and benches for working.","[""outdoor_seating_area""]",Chiang Mai,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": [""outdoor_seating_area""]}",,"Wiang Kaew, Chiang Mai Old Town",coworking,"Coworking space in Chiang Mai's Old Town, remodeled from a soda factory, with a large outdoor patio and garden."
"Name itself implies a green focus. Described as having an 'indoor-outdoor vibe, complete with trees and plants, making it feel super cozy.' Website shows images with significant greenery.",greenhouse-community-space-chiang-mai-cnx-cw,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Greenhouse Community Space,"[""https://greenhousecowork.com/"", ""https://acrosseveryborder.com/coworking-spaces-in-chiang-mai/""]","Greenhouse Community Space, located in the Nimman area of Chiang Mai, is focused on Asia's media ecosystem. It offers an indoor-outdoor vibe, complete with trees and plants, creating a cozy atmosphere. The name itself suggests a green focus.",[],Chiang Mai,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": []}",,"Nimman area, Chiang Mai",coworking,"Coworking space in Nimman with an indoor-outdoor vibe, trees, and plants."
"'Quiet, cozy (yet somehow spacious) environment with garden views inside and out.' 'Feels like a rural retreat with its lush vegetation, tree swing, and pond surrounding the building.'",planters-space-chiang-mai-cnx-cw,,"[""biophilic_design""]",[],,2025-05-12,"{""latitude"": null, ""longitude"": null}",Planter’s Space,"[""https://planterspace.com/"", ""https://www.coworker.com/mag/5-coolest-coworking-spaces-in-chiang-mai"", ""https://abrotherabroad.com/15-best-coworking-spaces-chiang-mai-has-to-offer-my-favorite-coffee-shops/""]","Planter’s Space, located a 10-minute walk from Maya Mall in Chiang Mai, offers a rustic coworking environment. It's described as feeling like a rural retreat with its lush vegetation, tree swing, and a pond surrounding the building, providing garden views both inside and out.","[""outdoor_seating_area""]",Chiang Mai,"{""operating_hours"": null, ""pricing_plans"": [], ""specific_amenities_coworking"": [""outdoor_seating_area""]}",,"Near Maya Mall, Chiang Mai (10-min walk)",coworking,"Coworking space near Maya Mall with a rustic, garden-retreat feel, lush vegetation, and a pond."
